Title;Location;Price;Posted On;Pillar Size;Tank Capacity;Road Size;Road Type;Built On;Land Area;House Area;Beds;Living;Kitchen;Bathrooms;Property Face Direction;Parking Space;Amenities
DALLU Awas;location: kathmandu,dallu;Rs 40,000,000;2 years ago;12*12;12000 liters;16 Feet;Concrete;2061;4 Anna 3 Dam;3287;5;1;2;3;West;1 Car & 3 Bikes;['No Amenities Available']
Narayanthan Banglow;location: Kathmandu, Budhanilkantha;Rs 105,000,000;2 years ago;12*12;12000 liters;16 Feet;Concrete;2061;21 Anna;3287;5;1;1;5;SOUTH;5 Cars & 12 Bikes;['No Amenities Available']
Narayanthan Home On Sale;location: Kathmandu, Budhanikantha-5;Rs 45,000,000;2 years ago;12*12;12000 liters;16 Feet;Concrete;2075;6 Anna;1026.75 Sq.ft;5;1;1;4;North;2 Cars & 5 Bikes;['No Amenities Available']
Budhanilkantha Banglow On Sale;location: Narayanthan, Budhanilkantha;Rs 120,000,000;2 years ago;12*12;12000 liters;16 Feet;Concrete;2069;27 Anna;3157 Sq.ft;5;2;1;5;EAST-SOUTH;6 Cars & 10 Bikes;['No Amenities Available']
Banglow On Sale;location: Kathmandu, Budhanilkantha;Rs 100000000;2 years ago;;;;;2074;20 Anna;3146 Sq.ft;5;2;1;5;WEST;3 Cars & 4 Bikes;['No Amenities Available']
Sano Bharayang  Home;location: Kathmandu, Sano Bhanrayang;Rs 30000000;2 years ago;;;;;2074;3 Anna 2 Paisa;3146 Sq.ft;4;1;1;4;South;Bikes;['No Amenities Available']
Bagaicha Housing;location: Kathmandu, Budhanilkantha-1;Rs 55,000,000;2 years ago;;;;;2077;7 Anna 2 Paisa;3146 Sq.ft;4;1;1;4;South-West;1 Car & 4 Bikes;['No Amenities Available']
Property On Ganeshthan On Sale;location: Kathmandu, Gongabu, SIdditole;Rs 90,000,000;2 years ago;;;;;2077;12 Anna;3146 Sq.ft;14;5;5;10;WEST-NORTH;4 Cars & 8 Bikes;['No Amenities Available']
Boudhanath Property On Sale;location: Kathmandu, Boudha;Rs 185,000,000;2 years ago;;;;;2065;11 Anna;4532 Sq.ft;11;4;4;5;SOUTH;4 Cars & 8 Bikes;['No Amenities Available']
Halchowk Banglow;location: Kathmandu, Halchowk, Pachdhara;Rs 36,000,000;2 years ago;;;;;2065;4 Anna 2 Paisa;1072.25;5;2;1;4;South;1 Car & 4 Bikes;['No Amenities Available']
Padma Colony New Home;location: Kathmandu, Sitapaila;Rs 31,500,000;2 years ago;14*14 Inch;9000 Ltr;13 Feet;Black Topped;2075;5 Anna 1 Paisa 1 Dam;2750 Sq.ft;6;2;2;5;East- North;2 Cars & 4 Bikes;['Solar', 'Modular Kitchen']
Dhapasi Height Home;location: Kathmandu, Dhapasi,;Rs 25,000,000;2 years ago;14*14 Inch;9000 Ltr;13 Feet;Black Topped;2074;4 Anna;2750 Sq.ft;6;2;2;3;South-West;1 Car & 4 Bikes;['No Amenities Available']
Sano Bharayang  Home;location: Kathmandu, Sano Bhanrayang;Rs 3,40,00,000;2 years ago;14*14 Inch;9000 Ltr;13 Feet;Black Topped;2075;4 Anna 1 Paisa;2750 Sq.ft;5;2;2;4;East;2 Cars & 3 Bikes;['No Amenities Available']
Chauni Home;location: Kathmandu, Chauni;Rs 2,70,00,000;2 years ago;;;;;;4 Anna 2 Paisa 2 Dam;;5;1;2;3;East- South;8 Bikes;['No Amenities Available']
EXCLUSIVE PROPERTY ON SALE;location: Kathmandu, Raniban, Tinghare;Rs 3,00,00,000;2 years ago;;;;;2077;4 Anna 2 Paisa;;5;2;2;3;WEST;1 Car & 4 Bikes;['No Amenities Available']
Balambu New Home;location: Kathmandu, Satungal, Balambu;Rs 1,80,00,000;2 years ago;;;;;2077;3 Anna 2 Paisa 2 Dam;;5;2;1;4;East;1 Car & 5 Bikes;['No Amenities Available']
Balambu New Home;location: Kathmandu, Satungal, Balambu;Rs 1,80,00,000;2 years ago;;;;;2077;3 Anna 2 Paisa 2 Dam;;5;2;1;4;East;1 Car & 4 Bikes;['No Amenities Available']
Thankot New Resident;location: Kathmandu, Thankot;Rs 1,65,00,000;2 years ago;;;;;2077;3 ANNA;;4;2;1;3;WEST;1 Car & 4 Bikes;['No Amenities Available']
Thankot Home;location: Kathmandu, Thankot, Om Basti;Rs 1,40,00,000;2 years ago;;;;;2077;3 ANNA;;2;2;2;3;East;1 Car & 3 Bikes;['No Amenities Available']
Pachdhara Home at Sale;location: Kathmandu, Halchowk, Pachdhara;Rs 26,000,000;2 years ago;;;;;2077;4 Anna 1 Paisa;;4;2;2;3;North;1 Car & 3 Bikes;['No Amenities Available']
Kimdol Resident Home On Sale;location: Kathmandu, Swoyambhu, Kimdol, Thado Bharayang;Rs 34,000,000;2 years ago;12*12;12000;13 Feet;Black Topped;2075;4 Anna;;5;3;2;3;North;1 Car & 4 Bikes;['No Amenities Available']
Tahachal New Home;location: Kathmandu,Tahachal;Rs 55000000;2 years ago;16*16 inch;16000;16 Feet;Stone Paved;2077;5 Anna 2 Paisa;;7;2;1;9;East- North;1 Car & 5 Bikes;['No Amenities Available']
Tahachal New Home;location: Kathmandu,Tahachal;Rs 5,25,00,000;2 years ago;16*16 inch;16000 liters;16 Feet;Stone Paved;2077;5 Anna 2 Paisa;;7;2;1;8;North;1 Car & 5 Bikes;['No Amenities Available']
Kalanki L.R.I School Area;location: Kathmandu,Kalanki, LRI School Area;Rs 3,00,00,000;2 years ago;16*16 inch;16000 liters;16 Feet;Stone Paved;2077;4 Anna 2 Paisa;;4;1;1;3;WEST-SOUTH;1 Car & 3 Bikes;['No Amenities Available']
3 Ghare, Raniban  Home;location: Kathmandu, Raniban;Rs 30,000,000;2 years ago;16*16 inch;16000 liters;16 Feet;Stone Paved;2077;4 Anna 2 Paisa;;5;2;2;4;North;3 Cars & 4 Bikes;['No Amenities Available']
Jarankhu Home At Sale;location: Kathmandhu, Tarkeshwor, Jarankhu;Rs 21,000,000;2 years ago;16*16 inch;16000 liters;16 Feet;Stone Paved;2077;4 Anna 2 Paisa;;5;2;2;4;North;3 Cars & 4 Bikes;['No Amenities Available']
Padma Colony Phase III;location: Kathmandu, Sitapiala;Rs 26,000,000;2 years ago;16*16 inch;16000 liters;16 Feet;Stone Paved;2076;4 Anna 2 Paisa;;4;1;1;4;West-East-North;1 Car & 3 Bikes;['No Amenities Available']
Bhatbhateni Apartment;location: Kathmandu, Bhatbhateni, Naxal;Rs 30,000,000;2 years ago;16*16 inch;16000 liters;16 Feet;Stone Paved;2076;4 Anna 2 Paisa;1700 Sq.ft;3;1;1;3;South;1 Car & 3 Bikes;['No Amenities Available']
